epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9014,0.81984,2.39156,1.35934,0.00333,1,0.60912,0.43435,0.61064,2.95358,1.26697,0.00016,0.00016,0.00016
2,119.553,0.53772,1.50529,1.17231,0.00333,1,0.36475,0.24174,0.70937,2.89028,1.34709,0.000333268,0.000333268,0.000333268
3,173,0.49614,1.03422,1.08594,0.54248,0.56001,0.58384,0.41635,0.97028,2.46962,1.71935,0.000499408,0.000499408,0.000499408
4,227.755,0.49814,0.98048,1.10768,0.68877,0.75,0.7712,0.62199,0.6818,1.9569,1.37306,0.00065842,0.00065842,0.00065842
5,289.67,0.4998,0.95368,1.11152,0.52988,0.50096,0.46809,0.26468,0.99082,2.20484,1.71686,0.000810304,0.000810304,0.000810304
6,348.967,0.49582,0.86448,1.09434,0.27827,0.72222,0.29981,0.17261,1.91645,3.43414,3.14267,0.00095506,0.00095506,0.00095506
7,407.263,0.52736,0.87441,1.12871,0.45596,0.44444,0.32635,0.14627,3.15605,3.6943,3.83807,0.00109269,0.00109269,0.00109269
8,462.199,0.49179,0.83087,1.09459,0.33138,0.22222,0.18309,0.07382,2.08225,4.64172,2.46191,0.00122319,0.00122319,0.00122319
9,521.836,0.53727,0.81031,1.14518,0.61034,0.82678,0.72714,0.50311,0.97893,1.92484,1.73627,0.00134656,0.00134656,0.00134656
10,580.175,0.52596,0.77866,1.11514,0.84065,0.77778,0.86138,0.64586,0.70603,1.50643,1.44443,0.0014628,0.0014628,0.0014628
11,636.523,0.53352,0.79133,1.13137,0.80776,0.70043,0.82617,0.58527,0.90594,1.72958,1.6442,0.00157192,0.00157192,0.00157192
12,692.976,0.55569,0.75025,1.1718,0.40534,0.75,0.45196,0.3101,1.05099,2.22442,1.65284,0.0015644,0.0015644,0.0015644
13,752.535,0.51031,0.73438,1.14339,0.72418,0.80232,0.82084,0.64721,0.73986,1.68474,1.38927,0.0015248,0.0015248,0.0015248
14,808.193,0.56516,0.73114,1.15255,0.78094,0.83333,0.82253,0.68301,0.68952,1.57001,1.32634,0.0014852,0.0014852,0.0014852
15,863.751,0.51199,0.66442,1.10578,0.551,0.55556,0.58115,0.4217,1.20021,2.12632,1.96738,0.0014456,0.0014456,0.0014456
16,919.205,0.48133,0.63536,1.09235,0.71775,0.66667,0.70427,0.45359,1.49291,2.16501,2.46872,0.001406,0.001406,0.001406
17,973.349,0.48538,0.59808,1.09016,0.73242,0.86111,0.84333,0.60332,0.88442,1.16872,1.50893,0.0013664,0.0013664,0.0013664
18,1027.32,0.48153,0.6306,1.10681,0.72206,0.93822,0.89756,0.62892,0.80693,1.266,1.46742,0.0013268,0.0013268,0.0013268
19,1083.45,0.52396,0.6828,1.13714,0.77277,0.86111,0.88129,0.69471,0.60565,1.19078,1.21634,0.0012872,0.0012872,0.0012872
20,1140.45,0.47827,0.61207,1.09964,0.90618,0.94444,0.9618,0.74852,0.67476,0.96452,1.33401,0.0012476,0.0012476,0.0012476
21,1195.21,0.47188,0.60542,1.10342,0.92561,0.91667,0.93545,0.75702,0.66687,1.03351,1.29423,0.001208,0.001208,0.001208
22,1250.85,0.48718,0.64368,1.07936,0.88189,0.88889,0.8959,0.67534,0.73225,0.96371,1.34335,0.0011684,0.0011684,0.0011684
23,1308.04,0.44348,0.54418,1.04003,0.68918,0.83333,0.79394,0.56803,1.16588,1.30306,1.74736,0.0011288,0.0011288,0.0011288
24,1365.65,0.47024,0.5634,1.08937,0.65182,0.78007,0.79069,0.62225,1.34001,1.32723,1.97095,0.0010892,0.0010892,0.0010892
25,1423.14,0.45302,0.57725,1.0699,0.85035,0.83333,0.83064,0.64414,0.99914,1.23472,1.56153,0.0010496,0.0010496,0.0010496
26,1479.69,0.42023,0.53767,1.03992,0.78166,0.83333,0.81443,0.5891,0.92712,1.32953,1.44245,0.00101,0.00101,0.00101
27,1535.46,0.42415,0.52822,1.03876,0.78952,0.72222,0.78957,0.54495,0.95746,1.48799,1.51404,0.0009704,0.0009704,0.0009704
28,1589.3,0.41368,0.53226,1.05486,0.95259,0.88889,0.9157,0.71085,0.78485,0.95953,1.36071,0.0009308,0.0009308,0.0009308
29,1647.59,0.41746,0.51097,1.06261,0.99701,0.91667,0.92639,0.75536,0.63155,0.8433,1.20806,0.0008912,0.0008912,0.0008912
30,1701.92,0.41426,0.53654,1.05343,0.99583,0.91667,0.94576,0.78703,0.65016,0.83939,1.21829,0.0008516,0.0008516,0.0008516
31,1756.73,0.44733,0.51679,1.05169,0.9954,0.94444,0.95439,0.82253,0.56441,0.65895,1.15955,0.000812,0.000812,0.000812
